# cross-gate unreddenability sweep — the measurement behind every
# SOURCE_SIDE_FALSIFIERS row (see `FalsifierKind`).
#
# Every registered patch × every source-side leaf. The leaves run in one
# batch and any leaf the batch left without a terminal `go test -json`
# event is re-run ALONE, so a patch that kills the binary cannot be
# recorded as reddening its neighbours. `no-go-hunks` means the patch
# touches nothing under runtime-go/ and so cannot change what a Go
# fixture does; `patch-absent` means the mutation is registered but its
# patch has not been authored yet.
#
# Re-take with:
#   cargo test -p xtask --bin xtask -- --ignored --exact \
#     bluedb_gates::gates_g2_13::tests::record_cross_gate_unreddenable_sweep
#
# <mutation-id> <leaf> <verdict>
G2.13e/mvcc-visibility-excludes-the-readts-itself TestSealContractRefusesWrites green
G2.13e/mvcc-visibility-excludes-the-readts-itself TestSecondOpenFailsSingleProcessLock green
G2.13e/mvcc-visibility-excludes-the-readts-itself TestWrongComparerNameRefusesOpen green
G2.13e/snapshot-readts-is-the-in-memory-high-water TestAuditH3ReaderGetSurfacesIoErrors green
G2.13e/snapshot-readts-is-the-in-memory-high-water TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary green
G2.13e/snapshot-readts-is-the-in-memory-high-water TestAuditN3BackgroundFatalDoesNotKillTheProcess green
G2.13e/snapshot-readts-is-the-in-memory-high-water TestAuditN3SynchronousWalFaultStillErrorsTheAck green
G2.13e/snapshot-readts-is-the-in-memory-high-water TestCrashDurablePrefixNoReorder green
G2.13e/snapshot-readts-is-the-in-memory-high-water TestInjectedFaultsReopenConsistent green
G2.13e/snapshot-readts-is-the-in-memory-high-water TestSealContractRefusesWrites green
G2.13e/snapshot-readts-is-the-in-memory-high-water TestSecondOpenFailsSingleProcessLock green
G2.13e/snapshot-readts-is-the-in-memory-high-water TestWrongComparerNameRefusesOpen green
G2.13f/close-does-not-quiesce-readers TestAuditH3ReaderGetSurfacesIoErrors green
G2.13f/close-does-not-quiesce-readers TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary green
