BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   23088	     20788 ns/op	       159.0 nodes	         1.000 patches/op	    3280 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   23120	     20904 ns/op	       159.0 nodes	         1.000 patches/op	    3281 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   23011	     20784 ns/op	       159.0 nodes	         1.000 patches/op	    3281 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   22968	     20995 ns/op	       159.0 nodes	         1.000 patches/op	    3281 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   22995	     20570 ns/op	       159.0 nodes	         1.000 patches/op	    3281 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   22812	     21039 ns/op	       159.0 nodes	         1.000 patches/op	    3281 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   22549	     21001 ns/op	       159.0 nodes	         1.000 patches/op	    3281 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   23266	     20702 ns/op	       159.0 nodes	         1.000 patches/op	    3280 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   23205	     20641 ns/op	       159.0 nodes	         1.000 patches/op	    3281 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   23114	     20862 ns/op	       159.0 nodes	         1.000 patches/op	    3281 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   22417	     20677 ns/op	       159.0 nodes	         1.000 patches/op	    3280 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=21/nodes=159-8            	   23196	     20717 ns/op	       159.0 nodes	         1.000 patches/op	    3281 B/op	     126 allocs/op
BenchmarkInteraction/attr_one/items=94/nodes=670-8            	    5677	     85953 ns/op	       670.0 nodes	         1.000 patches/op	   10875 B/op	     491 allocs/op
BenchmarkInteraction/attr_one/items=94/nodes=670-8            	    5584	     86067 ns/op	       670.0 nodes	         1.000 patches/op	   10875 B/op	     491 allocs/op
BenchmarkInteraction/attr_one/items=94/nodes=670-8            	    5577	     86044 ns/op	       670.0 nodes	         1.000 patches/op	   10874 B/op	     491 allocs/op
